id,model_seed,split_seed,train_fraction,mid_epoch,grok_epoch,,,,,,,,,,
1,0,0,0.3,3899,9000,late grok,,,,,,,,,
2,1,0,0.3,3799,5100,early grok,textbook ,,,,,,,,
3,2,0,0.3,4199,6200,mid grok,textbook,,,,,,,,
4,3,0,0.3,5799,7100,mid grok,no circle in pca,,,,,,early ,frac0.3_split0_mseed1,frac0.3_split2_mseed0
5,4,0,0.3,9999,,no grok,,,,,,,mid,frac0.3_split0_mseed5,frac0.3_split0_mseed6
6,5,0,0.3,4799,7600,mid grok,,,,,,,late,frac0.3_split0_mseed0,frac0.3_split0_mseed19
7,6,0,0.3,3599,7500,mid grok,,,,,,,,,
8,7,0,0.3,8699,,no grok,"weak circle, not enough epochs",,,,,,,,
9,8,0,0.3,2699,5900,mid grok,,,,,,,weird stuff in PCA could be circles across higher dimensional spaces or noise from weights from memorization circuit,,
10,9,0,0.3,9999,,no grok,,,,,,,,,
11,10,0,0.3,9999,,no grok,,,,,,,,,
12,11,0,0.3,5299,7700,mid grok,"weak circle, strong fourier",,,,,,,,
13,12,0,0.3,4999,9200,late grok,"weak circle, strong fourier",,,,,,,,
14,13,0,0.3,6499,8100,late grok,"weak circle, strong fourier",,,,,,,,
15,14,0,0.3,5499,7200,late grok,weak circle,,,,,,,,
16,15,0,0.3,9999,,no grok,,,,,,,,,
17,16,0,0.3,9999,,no grok,,,,,,,,,
18,17,0,0.3,6599,8200,late grok,weak circle,,,,,,,,
19,18,0,0.3,5799,7600,mid grok,weak circle,,,,,,,,
20,19,0,0.3,6499,9900,late grok,,,,,,,,,
21,0,1,0.3,2699,5100,early grok,messy pca,,,,,,,,
22,0,2,0.3,4799,6300,early grok,great circle,,,,,,,,
23,0,3,0.3,2799,5300,early grok,messy pca,,,,,,,,
24,0,4,0.3,9999,,no grok,,,,,,,,,
25,0,5,0.3,2699,7300,late grok,messy pca,,,,,,,,
26,0,0,0.4,199,2500,,"no circle in pca post, but circle mid",,,,,,,,
27,0,0,0.5,199,800,,very strong circle in pca post and mid,,,,,,,,
28,0,0,0.6,199,600,,"no circle in pca post, but circle mid",,,,,,,,
29,0,0,0.7,199,300,,"no circle in pca post, but circle mid",,,,,,,,
